gene	essentiality	ncbi_id
IGFBP7	CSEGs	3490
IGFN1	CSEGs	91156
IGHMBP2	CSEGs	3508
IGIP	CSEGs	492311
IGSF9	CSEGs	57549
IL17A	CSEGs	3605
IL1F10	CSEGs	84639
IL32	CSEGs	9235
IL4R	CSEGs	3566
ILDR1	CSEGs	286676
ILDR2	CSEGs	387597
IMMP1L	CSEGs	196294
IMP3	CEGs	55272
INCENP	CEGs	3619
INHBB	CSEGs	3625
INSL5	CSEGs	10022
INSM1	CSEGs	3642
INSR	CSEGs	3643
INTS2	CEGs	57508
INTS4	CEGs	92105
INTS9	CEGs	55756
IP6K3	CSEGs	117283
IPCEF1	CSEGs	26034
IPO13	CEGs	9670
IRF1	CSEGs	3659
IRF2BP1	CSEGs	26145
IRS4	CSEGs	8471
IRX5	CSEGs	10265
ISCU	CEGs	23479
ISG20L2	CEGs	81875
ISL2	CSEGs	64843
ITGA9	CSEGs	3680
ITGAV	CEGs	3685
ITGB3BP	CSEGs	23421
ITSN1	CSEGs	6453
ITSN2	CSEGs	50618
JAK3	CSEGs	3718
JAM3	CSEGs	83700
JARID2	CSEGs	3720
JPH3	CSEGs	57338
JUND	CSEGs	3727
KANSL2	CEGs	54934
KAT6B	CSEGs	23522
KAT8	CEGs	84148
KAZN	CSEGs	23254
KBTBD8	CSEGs	84541
KCNA10	CSEGs	3744
KCNA7	CSEGs	3743
KCNE1	CSEGs	3753
KCNE3	CSEGs	10008
KCNF1	CSEGs	3754
KCNH7	CSEGs	90134
KCNIP2	CSEGs	30819
KCNJ15	CSEGs	3772
KCNK15	CSEGs	60598
KCNK16	CSEGs	83795
KCNK2	CSEGs	3776
KCTD6	CSEGs	200845
KDM5A	CSEGs	5927
KDM6A	CSEGs	7403
KIAA0232	CSEGs	9778
KIAA0408	CSEGs	9729
KIAA1522	CSEGs	57648
KIAA1614	CSEGs	57710
KIAA1841	CSEGs	84542
KIAA2026	CSEGs	158358
KIF11	CEGs	3832
KIF15	CSEGs	56992
KIF1B	CSEGs	23095
KIF21A	CSEGs	55605
KIF23	CEGs	9493
KIF27	CSEGs	55582
KIF3C	CSEGs	3797
KIF5B	CSEGs	3799
KIN	CEGs	22944
KLF10	CSEGs	7071
KLF12	CSEGs	11278
KLF6	CSEGs	1316
KLHL31	CSEGs	401265
KLHL41	CSEGs	10324
KLK14	CSEGs	43847
KLK15	CSEGs	55554
KLK6	CSEGs	5653
KLRC2	CSEGs	3822
KPNA1	CSEGs	3836
KPNB1	CEGs	3837
KPTN	CSEGs	11133
KREMEN1	CSEGs
KRIT1	CSEGs	889
KRT18	CSEGs	3875
KRT222	CSEGs	125113
KRT74	CSEGs	121391
KSR1	CSEGs	8844
KTN1	CSEGs
KXD1	CSEGs	79036
L3MBTL2	CSEGs	83746
LAD1	CSEGs	3898
LAMA2	CSEGs	3908
LAMB4	CSEGs	22798
LAMP3	CSEGs	27074
LAMTOR4	CSEGs	389541
LAS1L	CEGs	81887
LCE1A	CEGs	353131
LCE1E	CEGs	353135
LCE1F	CEGs	353137
LCNL1	CSEGs	401562
LCP1	CSEGs	3936
LDB2	CSEGs	9079
LDHD	CSEGs	197257
LDLRAP1	CSEGs	26119
LDOC1	CSEGs	23641
LELP1	CSEGs	149018
LFNG	CSEGs	3955
LGALS4	CSEGs	3960
LHX2	CSEGs	9355
LILRB2	CSEGs
LIN28A	CSEGs	79727
LIN52	CEGs	91750
LIN7B	CSEGs	64130
LIN7C	CSEGs	55327
LINC00173	CSEGs	100287569
LINC00311	CSEGs	197196
LINC00909	CSEGs	400657
LMO2	CSEGs	4005
LMX1A	CSEGs	4009
LONP2	CSEGs	83752
LPAR5	CSEGs	57121
LPCAT3	CSEGs	10162
LPIN1	CSEGs	23175
LPO	CSEGs	4025
LRIG3	CSEGs	121227
LRP6	CSEGs	4040
LRPAP1	CSEGs	4043
LRRC1	CSEGs	55227
LRRC15	CSEGs	131578
LRRC29	CSEGs	26231
LRRC59	CSEGs	55379
LRRC6	CSEGs	23639
LRRC72	CSEGs	100506049
LRRK2	CSEGs	120892
LRTM1	CSEGs	57408
LSM2	CEGs	57819
LSM3	CEGs	27258
LSM4	CEGs	25804
LSM5	CEGs
LSM6	CEGs	11157
LSM7	CEGs	51690
LSMEM1	CSEGs	286006
LST1	CSEGs	7940
LTA4H	CSEGs	4048
LTBP3	CSEGs	4054
LTV1	CEGs	84946
LUC7L3	CEGs	51747
LY6G6C	CSEGs	80740
LYPD6B	CSEGs	130576
LYRM2	CSEGs	57226
LYRM4	CEGs	57128
LYZL2	CSEGs	119180
M6PR	CSEGs	4074
MAD1L1	CSEGs	8379
MAD2L1	CEGs	4085
MAFB	CSEGs	9935
MAGEA1	CSEGs	4100
MAGEA12	CSEGs	4111
MAGEA2B	CSEGs	266740
MAGEB1	CSEGs	4112
MAGEB3	CSEGs	4114
MAGEC2	CSEGs	51438
MAGEH1	CSEGs	28986
MAGI2	CSEGs	9863
MAGI3	CSEGs	260425
MAGIX	CSEGs	79917
MAK16	CEGs	84549
MAN2A1	CSEGs	4124
MAN2B1	CSEGs	4125
MANSC1	CSEGs	54682
MAP1LC3C	CSEGs	440738
MAP2K5	CSEGs	5607
MAP2K6	CSEGs	5608
MAP3K9	CSEGs	4293
MAPK14	CSEGs	1432
MAPK1IP1L	CSEGs	93487
MAPK4	CSEGs	5596
MAPK6	CSEGs	5597
MAPK7	CSEGs	5598
MAPK9	CSEGs	5601
MAPKAP1	CSEGs	79109
MAPKAPK5	CSEGs	8550
MARC2	CSEGs	54996
MARK4	CSEGs	57787
MAST4	CSEGs	375449
MASTL	CEGs	84930
MAT2A	CEGs	4144
MATN2	CSEGs	4147
MAZ	CSEGs	4150
MBNL2	CSEGs	10150
MBNL3	CSEGs	55796
MC5R	CSEGs	4161
MCAT	CSEGs	27349
MCM2	CEGs	4171
MCM3AP	CEGs	8888
MCM5	CEGs	4174
MCM6	CEGs	4175
MCM7	CEGs	4176
MCOLN3	CSEGs	55283
MCTP2	CSEGs	55784
MDFIC	CSEGs	29969
MDGA1	CSEGs	266727
MDH2	CSEGs	4191
MDN1	CEGs	23195
ME1	CSEGs	4199
MED11	CEGs	400569
MED20	CEGs	9477
MED22	CEGs	6837
MED27	CEGs	9442
MED28	CEGs	80306
MED30	CEGs	90390
MED31	CEGs	51003
MED4	CEGs	29079
MED6	CEGs	10001
MEF2C	CSEGs	4208
MEPCE	CEGs	56257
MESP2	CSEGs	145873
METTL1	CSEGs	4234
METTL2A	CSEGs	339175
METTL2B	CSEGs	55798
METTL5	CSEGs	29081
METTL7A	CSEGs	25840
METTL9	CSEGs	51108
MFAP1	CEGs	4236
MFSD12	CSEGs	126321
MFSD5	CSEGs	84975
MGAM	CSEGs	8972
MGAT1	CSEGs	4245
MGAT5	CSEGs	4249
MIB2	CSEGs	142678
MICA	CSEGs	100507436
MICAL3	CSEGs	57553
MIEF1	CSEGs	54471
MIEN1	CSEGs	84299
MIER2	CSEGs	54531
MIF	CSEGs	4282
MKI67	CSEGs	4288
MKNK1	CSEGs	8569
MKRN3	CSEGs	7681
MKRN9P	CSEGs	400058
MLKL	CSEGs	197259
MMP12	CSEGs	4321
MMP28	CSEGs	79148
MMRN1	CSEGs	22915
MMS22L	CEGs	253714
MNDA	CSEGs	4332
MOB1B	CSEGs	92597
MON2	CSEGs	23041
MORN1	CSEGs	79906
MOV10L1	CSEGs	54456
MPDZ	CSEGs	8777
MPHOSPH10	CEGs	10199
MPLKIP	CSEGs	136647
MPP5	CSEGs	64398
MPP7	CSEGs	143098
MRGPRX4	CSEGs	117196
MROH6	CSEGs	642475
MRPL14	CSEGs	64928
MRPL33	CSEGs	9553
MRPL52	CSEGs	122704
MRPS18B	CSEGs	28973
MRRF	CSEGs	92399
MRS2	CSEGs	57380
MS4A6A	CSEGs	64231
MSANTD4	CSEGs	84437
MSC	CSEGs	9242
MSH2	CSEGs	4436
MSI1	CSEGs	4440
MSMO1	CSEGs	6307
MST1R	CSEGs	4486
MSX1	CSEGs	4487
MT1HL1	CSEGs	645745
MT1M	CSEGs	4499
MTBP	CEGs	27085
MTFP1	CSEGs	51537
MTFR1	CSEGs	9650
MTHFD2L	CSEGs	441024
MTHFR	CSEGs	4524
MTMR10	CSEGs	54893
MTMR12	CSEGs	54545
MTMR6	CSEGs	9107
MVP	CSEGs	9961
MXI1	CSEGs	4601
MYADM	CSEGs	91663
MYADML2	CSEGs	255275
MYCL	CSEGs	4610
MYF6	CSEGs	4618
MYH10	CSEGs	4628
MYLIP	CSEGs	29116
MYO18B	CSEGs	84700
MYO1D	CSEGs	4642
MYO5C	CSEGs	55930
MYOD1	CSEGs	4654
MYSM1	CSEGs	114803
MZB1	CSEGs	51237
MZT1	CEGs	440145
NAA16	CSEGs	79612
NAA38	CEGs	84316
NAA50	CEGs	80218
NACC2	CSEGs	138151
NALCN	CSEGs	259232
NAP1L4	CSEGs	4676
NAPA	CEGs	8775
NAPSB	CSEGs	256236
NAT2	CSEGs	10
NCAPG	CEGs	64151
NCBP1	CEGs	4686
NCBP2	CEGs	22916
NCDN	CSEGs	23154
NCKAP1L	CSEGs	3071
NCOA3	CSEGs	8202
NDC80	CEGs	10403
NDN	CSEGs	4692
NDRG3	CSEGs	57446
NDST3	CSEGs	9348
NDUFAF5	CSEGs	79133
NDUFAF6	CSEGs	137682
NDUFV2	CSEGs	4729
NEDD1	CEGs	121441
NEDD4L	CSEGs	23327
NEDD8	CEGs	4738
NEFL	CSEGs	4747
NEK2	CSEGs	4751
NEK3	CSEGs	4752
NEK9	CSEGs	91754
NELL1	CSEGs	4745
NEO1	CSEGs	4756
NETO1	CSEGs	81832
NFKB2	CSEGs	4791
NFKBIB	CSEGs	4793
NHLRC1	CSEGs	378884
NHLRC3	CSEGs	387921
NID1	CSEGs	4811
NIP7	CEGs	51388
NKAP	CEGs	79576
NKD2	CSEGs	85409
NLRP12	CSEGs	91662
NMD3	CEGs	51068
NME3	CSEGs	4832
NME4	CSEGs	4833
NME6	CSEGs	10201
NME9	CSEGs	347736
NNAT	CSEGs	4826
NOL9	CEGs	79707
NOMO2	CSEGs	283820
NOP16	CEGs	51491
NOP58	CEGs	51602
NOS2	CSEGs	4843
NOTCH3	CSEGs	4854
NOTCH4	CSEGs	4855
NOXA1	CSEGs	10811
NOXO1	CSEGs
NPBWR1	CSEGs	2831
NPIPA5	CEGs	100288332
NPLOC4	CEGs	55666
NPPC	CSEGs	4880
NPS	CSEGs	594857
NPSR1	CSEGs	387129
NPY1R	CSEGs	4886
NR1D1	CSEGs	9572
NR1H2	CSEGs	7376
NR1I2	CSEGs	8856
NRDE2	CEGs	55051
NREP	CSEGs	9315
NRF1	CEGs	4899
NRG4	CSEGs	145957
NRL	CSEGs	4901
NRN1	CSEGs	51299
NRSN2	CSEGs	80023
NSA2	CEGs	10412
NSF	CEGs	4905
NSL1	CEGs	25936
NSRP1	CSEGs	84081
NT5C	CSEGs	30833
NT5C2	CSEGs	22978
NT5DC1	CSEGs	221294
NTAN1	CSEGs	123803
NUAK1	CSEGs	9891
NUB1	CSEGs	51667
NUBP1	CEGs	4682
NUDT14	CSEGs	256281
NUDT21	CEGs	11051
NUF2	CEGs	83540
NUFIP2	CSEGs	57532
NUP133	CEGs	55746
NUP155	CEGs	9631
NUP160	CEGs	23279
NUP214	CEGs	8021
NUP37	CSEGs	79023
NUP62CL	CSEGs	54830
NUP88	CEGs	4927
NUS1	CEGs	116150
NUTF2	CEGs	10204
NUTM1	CSEGs	256646
NUTM2G	CSEGs	441457
OAS2	CSEGs	4939
OBP2B	CSEGs	29989
OCSTAMP	CSEGs	128506
ODAM	CSEGs	54959
OGT	CEGs	8473
OPN1SW	CSEGs	611
OPRK1	CSEGs	4986
OPRL1	CSEGs	4987
OR10X1	CSEGs	128367
OR12D2	CSEGs	26529
OR13D1	CSEGs	286365
OR1B1	CSEGs	347169
OR1D4	CSEGs	653166
OR1D5	CSEGs	8386
OR2D3	CSEGs	120775
OR2T29	CSEGs	343563
OR2T35	CSEGs	403244
OR52L1	CSEGs	338751
OR52M1	CSEGs	119772
OR5C1	CSEGs	392391
OR5P2	CSEGs	120065
OR6W1P	CSEGs	89883
ORC1	CEGs	4998
ORC6	CEGs	23594
OSBPL11	CSEGs	114885
OSBPL5	CSEGs	114879
OSCAR	CSEGs	126014
OTOR	CSEGs	56914
OTUB2	CSEGs	78990
OTUD5	CSEGs	55593
OTUD6B	CSEGs	51633
OVOL1	CSEGs	5017
OXSR1	CSEGs	9943
P2RY13	CSEGs	53829
P2RY14	CSEGs	9934
PAAF1	CSEGs	80227
PABPC4	CSEGs	8761
PACRGL	CSEGs	133015
PACS1	CSEGs	55690
PAFAH1B1	CEGs	5048
PAFAH1B3	CSEGs	5050
PAGE5	CSEGs	90737
PALM	CSEGs	5064
PALM3	CSEGs	342979
PALMD	CSEGs	54873
PAM16	CEGs	51025
PAN3	CSEGs	255967
PANK1	CSEGs	53354
PANX3	CSEGs	116337
PAPLN	CSEGs	89932
PAPSS1	CSEGs	9061
PARP4	CSEGs	143
PARVA	CSEGs	55742
PARVG	CSEGs	64098
PBX2	CSEGs	5089
PCBD1	CSEGs	5092
PCDH1	CSEGs	5097
PCDH11X	CSEGs	27328
PCDHA10	CSEGs	56139
PCDHA12	CSEGs	56137
PCDHA9	CSEGs	9752
PCDHB14	CSEGs	56122
PCDHB2	CSEGs	56133
PCDHB5	CSEGs	26167
PCDHGA4	CSEGs	56111
PCDHGB2	CSEGs	56103
PCID2	CEGs	55795
PCK2	CSEGs	5106
PCMTD2	CSEGs	55251
PCNA	CEGs	5111
PCSK6	CSEGs	5046
PCYT1B	CSEGs	9468
PDCD11	CEGs	22984
PDCD7	CEGs	10081
PDE11A	CSEGs	50940
PDE12	CSEGs	201626
PDE1A	CSEGs
PDE4C	CSEGs	5143
PDE4D	CSEGs	5144
PDGFC	CSEGs	56034
PDHA1	CSEGs	5160
PDHA2	CSEGs	5161
PDIA5	CSEGs	10954
PDXP	CSEGs	57026
PDZK1	CSEGs	5174
PEF1	CSEGs	553115
PES1	CEGs	23481
PEX19	CSEGs	5824
PFDN2	CEGs	5202
PFDN6	CEGs	10471
PGBD4	CSEGs	161779
PGBD5	CSEGs	79605
PGLYRP2	CSEGs	114770
PHAX	CEGs	51808
PHB	CEGs	5245
PHB2	CEGs	11331
PHC3	CSEGs	80012
PHF20	CSEGs	51230
PHF5A	CEGs	84844
PHLPP1	CSEGs	23239
PHOSPHO1	CSEGs	162466
PHPT1	CSEGs	29085
PHRF1	CSEGs	57661
PI4K2B	CSEGs	55300
PIAS2	CSEGs	9063
PIGB	CSEGs	9488
PIGP	CSEGs	51227
PIGS	CSEGs	94005
PIK3AP1	CSEGs	118788
PIK3C2A	CSEGs	5286
PIK3C2B	CSEGs	5287
PIK3C2G	CSEGs	5288
PIK3R2	CSEGs	5296
PIKFYVE	CSEGs	200576
PILRB	CSEGs	29990
PIM1	CSEGs	5292
PIM2	CSEGs	11040
PIN1P1	CSEGs	5301
PINK1	CSEGs	65018
PIP4K2C	CSEGs	79837
PIPOX	CSEGs	51268
PISD	CEGs	23761
PKMYT1	CEGs	9088
PKNOX1	CSEGs	5316
PKNOX2	CSEGs	63876
PKP2	CSEGs	5318
PLA2G12A	CSEGs	81579
PLA2G15	CSEGs	23659
PLA2G2F	CSEGs	64600
PLA2G4B	CSEGs	100137049
PLA2G4C	CSEGs	8605
PLA2G4E	CSEGs	123745
PLAC9	CSEGs	219348
PLAGL2	CSEGs	5326
PLCB1	CSEGs	23236
PLCE1	CSEGs	51196
PLCXD1	CSEGs	55344
PLEKHA5	CSEGs	54477
PLEKHG2	CSEGs	64857
PLEKHG4	CSEGs	25894
PLEKHG4B	CSEGs	153478
PLG	CSEGs	5340
PLGLB1	CSEGs	5343
PLIN1	CSEGs	5346
PLK1	CEGs	5347
PLK4	CEGs	10733
PLLP	CSEGs	51090
PLP2	CSEGs	5355
PLS1	CSEGs	5357
PLTP	CSEGs	5360
PLXNA3	CSEGs	55558
PLXNB3	CSEGs	5365
PM20D1	CSEGs	148811
PMAIP1	CSEGs	5366
PMPCB	CEGs	9512
PMS2	CSEGs	5395
PMS2CL	CSEGs	441194
PNMA1	CSEGs	9240
PNPLA2	CSEGs	57104
PNPLA5	CSEGs	150379
POGZ	CSEGs	23126
POLA2	CEGs	23649
POLD1	CEGs	5424
POLD3	CEGs	10714
POLH	CSEGs	5429
POLR1B	CEGs	84172
POLR1C	CEGs	9533
POLR2A	CEGs	5430
POLR2B	CEGs	5431
POLR2C	CEGs	5432
POLR2D	CEGs	5433
POLR2E	CEGs	5434
POLR2F	CEGs	5435
POLR2G	CEGs	5436
POLR2H	CEGs	5437
POLR2I	CEGs	5438
POLR2K	CEGs	5440
POLR2L	CEGs	5441
POLR3A	CEGs	11128
POLR3B	CEGs	55703
POLR3C	CEGs	10623
POLR3E	CEGs	55718
POLR3F	CEGs	10621
POM121L12	CSEGs	285877
POP4	CEGs	10775
POP7	CEGs	10248
POSTN	CSEGs	10631
POTED	CSEGs	317754
POU2F3	CSEGs	25833
POU4F1	CSEGs	5457
POU4F3	CSEGs	5459
PPARG	CSEGs	5468
PPARGC1A	CSEGs	10891
PPIAP30	CSEGs	100192204
PPID	CSEGs	5481
PPIL2	CEGs	23759
PPIL4	CEGs	85313
PPM1L	CSEGs	151742
PPP1R12B	CSEGs	4660
PPP1R15A	CSEGs	23645
PPP1R35	CSEGs	221908
PPP1R3A	CSEGs	5506
PPP1R3E	CSEGs	90673
PPP1R42	CSEGs	286187
PPP2R3A	CSEGs	5523
PPP2R5C	CSEGs	5527
PPP2R5E	CSEGs	5529
PPP5D1	CSEGs	100506012
PPT1	CSEGs	5538
PRAME	CSEGs	23532
PRAMEF1	CSEGs	65121
PRAMEF10	CSEGs	343071
PRC1	CEGs	9055
PRDM7	CSEGs	11105
PRELID1	CEGs	27166
PREX1	CSEGs	57580
PRG3	CSEGs	10394
PRG4	CSEGs	10216
PRIM1	CEGs	5557
PRIM2	CSEGs	5558
PRKAA2	CSEGs	5563
PRKACB	CSEGs	5567
PRKAR2A	CSEGs	5576
PRKCE	CSEGs	5581
PRKCH	CSEGs	5583
PRKG1	CSEGs	5592
PRNP	CSEGs	5621
PRODH	CSEGs	5625
PRODH2	CSEGs	58510
PROM2	CSEGs	150696
PRPF19	CEGs	27339
PRPF31	CEGs	26121
PRPF38A	CEGs	84950
PRPF38B	CEGs	55119
PRPF40A	CEGs	55660
PRPF6	CEGs	24148
PRPF8	CEGs	10594
PRR14L	CSEGs	253143
PRR19	CSEGs	284338
PRSS30P	CSEGs	124221
PRSS48	CSEGs	345062
PRSS57	CSEGs	400668
PSG1	CSEGs
PSG3	CSEGs	5671
PSMA1	CEGs	5682
PSMA2	CEGs	5683
PSMA3	CEGs	5684
PSMA4	CEGs	5685
PSMA5	CEGs	5686
PSMA6	CEGs	5687
PSMA7	CEGs	5688
PSMB2	CEGs	5690
PSMB3	CEGs	5691
PSMB4	CEGs	5692
PSMB5	CEGs	5693
PSMB6	CEGs	5694
PSMB7	CEGs	5695
PSMC1	CEGs	5700
PSMC2	CEGs	5701
PSMC3	CEGs	5702
PSMC6	CEGs	5706
PSMD11	CEGs	5717
PSMD12	CEGs	5718
PSMD14	CEGs	10213
PSMD3	CEGs	5709
PSMD6	CEGs	9861
PSMG4	CEGs	389362
PSPC1	CSEGs	55269
PTCHD3	CSEGs	374308
PTGR1	CSEGs	22949
PTH2	CSEGs	113091
PTH2R	CSEGs	5746
PTPN2	CSEGs	5771
PTPRD	CSEGs	5789
PTPRH	CSEGs	5794
PTPRN	CSEGs	5798
PTTG2	CSEGs	10744
PUF60	CEGs	22827
PUS7	CSEGs	54517
PUSL1	CSEGs	126789
PWP2	CEGs	5822
PYGO1	CSEGs	26108
PYY	CSEGs	5697
QKI	CSEGs	9444
R3HDM1	CSEGs	23518
RAB13	CSEGs	5872
RAB24	CSEGs	53917
RAB2A	CSEGs	5862
RAB3A	CSEGs	5864
RAB3B	CSEGs	5865
RAB3C	CSEGs	115827
RAB41	CSEGs	347517
RAB6C	CSEGs	84084
RAB9A	CSEGs	9367
RABAC1	CSEGs	10567
RABEP2	CSEGs	79874
RABGGTB	CEGs	5876
RAC2	CSEGs	5880
RACGAP1	CEGs	29127
RAD18	CSEGs	56852
RAD21L1	CSEGs	642636
RAD54B	CSEGs	25788
RAD54L2	CSEGs	23132
RAE1	CEGs	8480
RAET1E	CSEGs	135250
RALGAPA1	CSEGs	253959
RALGPS2	CSEGs	55103
RAMP2	CSEGs	10266
RAN	CEGs	5901
RANGAP1	CEGs	5905
RAP1GDS1	CSEGs	5910
RAPGEFL1	CSEGs	51195
RASAL3	CSEGs	64926
RASD2	CSEGs	23551
RASSF2	CSEGs	9770
RASSF5	CSEGs	83593
RASSF6	CSEGs	166824
RASSF9	CSEGs	9182
RBAK	CSEGs	57786
RBBP4	CEGs	5928
RBBP6	CEGs	5930
RBBP9	CSEGs	10741
RBL1	CSEGs	5933
RBM17	CEGs	84991
RBM25	CEGs	58517
RBM27	CSEGs	54439
RBMS3	CSEGs	27303
RBMX	CEGs	27316
RBP2	CSEGs	5948
RBX1	CEGs	9978
RCC1	CEGs	1104
RCN3	CSEGs	57333
RDH8	CSEGs	50700
REEP4	CSEGs	80346
REM2	CSEGs	161253
REP15	CSEGs	387849
RESP18	CSEGs	389075
REV1	CSEGs	51455
REXO4	CSEGs	57109
RFC2	CEGs	5982
RFC4	CEGs	5984
RFC5	CEGs	5985
RFT1	CEGs	91869
RFX5	CSEGs	5993
RFX7	CSEGs	64864
RFXAP	CSEGs	5994
RGPD6	CEGs	729540
RGS1	CSEGs	5996
RGS9BP	CSEGs	388531
RHCE	CSEGs	6006
RHOBTB3	CSEGs	22836
RHOH	CSEGs	399
RHOT1	CSEGs	55288
RHPN1	CSEGs	114822
RIC8A	CSEGs	60626
RIMBP2	CSEGs	23504
RIMS3	CSEGs	9783
RINT1	CEGs	60561
RIOK3	CSEGs	8780
RIT2	CSEGs	6014
RNASE8	CSEGs	122665
RNF112	CSEGs	7732
RNF113A	CEGs	7737
RNF13	CSEGs	11342
RNF157	CSEGs	114804
RNF207	CSEGs	388591
RNF208	CSEGs	727800
RNF216	CSEGs	54476
RNF31	CSEGs	55072
RNF7	CSEGs	9616
RNGTT	CEGs	8732
RNPEPL1	CSEGs	57140
RORB	CSEGs	6096
RP9	CSEGs	6100
RPA1	CEGs	6117
RPA2	CEGs	6118
RPA3	CEGs	6119
RPAP1	CEGs	26015
RPF2	CEGs	84154
RPL10A	CEGs	4736
RPL11	CEGs	6135
RPL12	CEGs	6136
RPL13	CEGs	6137
RPL13A	CEGs	23521
RPL14	CEGs	9045
RPL15	CEGs	6138
RPL17	CEGs	6139
RPL18	CEGs	6141
RPL18A	CEGs	6142
RPL19	CEGs	6143
RPL21	CEGs	6144
RPL23	CEGs	9349
RPL23A	CEGs	6147
RPL24	CEGs	6152
RPL26	CEGs	6154
RPL27	CEGs	6155
RPL27A	CEGs	6157
RPL3	CEGs	6122
RPL30	CEGs	6156
RPL31	CEGs	6160
RPL32	CEGs	6161
RPL34	CEGs	6164
RPL35	CEGs	11224
RPL35A	CEGs	6165
RPL36	CEGs	25873
RPL36A	CEGs	6173
RPL37A	CEGs	6168
RPL38	CEGs	6169
RPL4	CEGs	6124
RPL41	CSEGs	6171
RPL5	CEGs	6125
RPL6	CEGs	6128
RPL7	CEGs	6129
RPL7L1	CEGs	285855
RPL8	CEGs	6132
RPL9	CSEGs	6133
RPLP0	CEGs	6175
RPLP1	CEGs	6176
RPN2	CEGs	6185
RPS11	CEGs	6205
RPS12	CEGs	6206
RPS13	CEGs	6207
RPS14	CEGs	6208
RPS15	CEGs	6209
RPS15A	CEGs	6210
RPS16	CEGs	6217
RPS18	CEGs	6222
RPS19	CEGs	6223
RPS2	CEGs	6187
RPS20	CEGs	6224
RPS21	CEGs	6227
RPS23	CEGs	6228
RPS24	CEGs	6229
RPS27A	CEGs	6233
RPS28	CEGs	6234
RPS3	CEGs	6188
RPS4X	CEGs	6191
RPS4Y1	CSEGs	6192
RPS5	CEGs	6193
RPS6	CEGs	6194
RPS6KA5	CSEGs	9252
RPS6KA6	CSEGs	27330
RPS7	CEGs	6201
RPS8	CEGs	6202
RPS9	CEGs	6203
RPSA	CEGs	3921
RRM1	CEGs	6240
RRM2	CEGs	6241
RRN3	CEGs	54700
RRN3P1	CSEGs	730092
RRP15	CEGs	51018
RRP9	CEGs	9136
RRS1	CEGs	23212
RSBN1	CSEGs	54665
RSC1A1	CSEGs	6248
RSL1D1	CEGs	26156
RSPH10B	CSEGs	222967
RTN4RL1	CSEGs	146760
RUNX1	CSEGs	861
RUSC2	CSEGs	9853
RUVBL2	CEGs	10856
RXRG	CSEGs	6258
RYR3	CSEGs	6263
S100A16	CSEGs	140576
S100A3	CSEGs	6274
SACM1L	CEGs	22908
SAMD9L	CSEGs	219285
SAMHD1	CSEGs	25939
SAP30BP	CEGs	29115
SART3	CEGs	9733
SBDS	CEGs	51119
SBF1	CSEGs	6305
SCAF1	CSEGs	58506
SCAF4	CSEGs	57466
SCAMP4	CSEGs	113178
SCARF1	CSEGs	8578
SCEL	CSEGs	8796
SCFD1	CEGs	23256
SCG3	CSEGs	29106
SCGB1A1	CSEGs	7356
SCGB3A2	CSEGs	117156
SCLT1	CSEGs	132320
SCML2	CSEGs	10389
SCN1A	CSEGs	6323
SCN2A	CSEGs	6326
SCN4A	CSEGs	6329
SCO1	CSEGs	6341
SDAD1	CEGs	55153
SDE2	CEGs	163859
SDHAF1	CSEGs	644096
SDHAF2	CSEGs	54949
SDR9C7	CSEGs	121214
SEC11C	CSEGs	90701
SEC13	CEGs	6396
SEC14L2	CSEGs	23541
SEC61A1	CEGs	29927
SEC61G	CEGs	23480
SELE	CSEGs	6401
SELP	CSEGs	6403
SEMA3B	CSEGs	7869
SEMA3D	CSEGs	223117
SEMA4D	CSEGs	10507
SEMA4G	CSEGs	57715
SEMA6C	CSEGs	10500
SERF2	CSEGs	10169
SERP2	CSEGs	387923
SERPINB10	CSEGs	5273
SERPINB13	CSEGs	5275
SERPIND1	CSEGs	3053
SERPINE2	CSEGs	5270
SERPINF2	CSEGs	5345
SERPING1	CSEGs	710
SERPINI2	CSEGs	5276
SESN3	CSEGs	143686
SEZ6L2	CSEGs	26470
SF1	CEGs	7536
SF3A1	CEGs	10291
SF3A2	CEGs	8175
SF3A3	CEGs	10946
SF3B2	CEGs	10992
SF3B3	CEGs	23450
SF3B4	CEGs	10262
SF3B5	CEGs	83443
SFRP4	CSEGs	6424
SFT2D1	CSEGs	113402
SFTPA1	CSEGs	653509
SGCD	CSEGs	6444
SGSH	CSEGs	6448
SGSM3	CSEGs	27352
SH2B3	CSEGs	10019
SH2D4A	CSEGs	63898
SH3BGRL	CSEGs	6451
SH3D21	CSEGs	79729
SH3GLB1	CSEGs	51100
SH3RF1	CSEGs	57630
SHARPIN	CSEGs	81858
SHCBP1	CSEGs	79801
SHE	CSEGs	126669
SHISA9	CSEGs	729993
SIGLEC14	CSEGs	100049587
SIM2	CSEGs	6493
SIPA1L1	CSEGs	26037
SIRPB1	CSEGs	10326
SIRPB2	CSEGs	284759
SLC10A4	CSEGs	201780
SLC12A5	CSEGs	57468
SLC12A7	CSEGs	10723
SLC16A3	CSEGs	9123
SLC17A3	CSEGs	10786
SLC19A2	CSEGs	10560
SLC19A3	CSEGs	80704
SLC1A1	CSEGs	6505
SLC22A14	CSEGs	9389
SLC22A18	CSEGs	5002
SLC24A4	CSEGs	123041
SLC25A12	CSEGs	8604
SLC25A2	CSEGs	83884
SLC25A39	CSEGs	51629
SLC26A11	CSEGs	284129
SLC26A9	CSEGs	115019
